"Name.i"	"Name.j"	"Source_patch"	"Target_patch"	"Sex.i"	"Sex.j"	"Fij"	"Management"	"Roads"	"Resistance_based_distance"	"Euclidean_distance"	"Landscape_resistance"	"Landscape_connectivity"
"AE100"	"RV17"	100	202	"M"	"M"	0.007174	"22"	"1"	35646.4	14221.0908512674	126.24	112.651226641852
"AE100"	"RV18"	100	202	"M"	"F"	0.094359	"22"	"1"	35646.4	14221.0908512674	126.24	112.651226641852
"AE100"	"RV19"	100	202	"M"	"M"	-0.064095	"22"	"1"	35646.4	14221.0908512674	126.24	112.651226641852
"AE100"	"RV20"	100	202	"M"	"F"	-0.002038	"22"	"1"	35646.4	14221.0908512674	126.24	112.651226641852
"AE100"	"RV21"	100	202	"M"	"M"	0.055645	"22"	"1"	35646.4	14221.0908512674	126.24	112.651226641852
"AE100"	"RV22"	100	202	"M"	"F"	0.042045	"22"	"1"	35646.4	14221.0908512674	126.24	112.651226641852
"AE100"	"RV23"	100	202	"M"	"M"	0.138089	"22"	"1"	35646.4	14221.0908512674	126.24	112.651226641852
"AE100"	"RV24"	100	202	"M"	"F"	0.0324	"22"	"1"	35646.4	14221.0908512674	126.24	112.651226641852
"AE100"	"RV25"	100	202	"M"	"F"	0.00764	"22"	"1"	35646.4	14221.0908512674	126.24	112.651226641852
"AE100"	"RV26"	100	202	"M"	"M"	0.097147	"22"	"1"	35646.4	14221.0908512674	126.24	112.651226641852
"AE100"	"RV27"	100	202	"M"	"F"	0.044658	"22"	"1"	35646.4	14221.0908512674	126.24	112.651226641852
"AE100"	"RV28"	100	202	"M"	"F"	0.20972	"22"	"1"	35646.4	14221.0908512674	126.24	112.651226641852
"AE100"	"RV3"	100	202	"M"	"M"	0.023355	"22"	"1"	35646.4	14221.0908512674	126.24	112.651226641852
"AE100"	"RV35"	100	202	"M"	"M"	0.185826	"22"	"1"	35646.4	14221.0908512674	126.24	112.651226641852
"AE100"	"RV36"	100	202	"M"	"M"	0.103863	"22"	"1"	35646.4	14221.0908512674	126.24	112.651226641852
"AE100"	"RV37"	100	202	"M"	"F"	0.194353	"22"	"1"	35646.4	14221.0908512674	126.24	112.651226641852
"AE100"	"RV38"	100	202	"M"	"M"	0.164766	"22"	"1"	35646.4	14221.0908512674	126.24	112.651226641852
"AE100"	"RV39"	100	202	"M"	"F"	0.101177	"22"	"1"	35646.4	14221.0908512674	126.24	112.651226641852
"AE100"	"RV4"	100	202	"M"	"M"	0.125418	"22"	"1"	35646.4	14221.0908512674	126.24	112.651226641852
"AE100"	"RV40"	100	202	"M"	"M"	0.051091	"22"	"1"	35646.4	14221.0908512674	126.24	112.651226641852
"AE100"	"RV41"	100	202	"M"	"F"	0.004581	"22"	"1"	35646.4	14221.0908512674	126.24	112.651226641852
"AE100"	"RV5"	100	202	"M"	"M"	0.053334	"22"	"1"	35646.4	14221.0908512674	126.24	112.651226641852
"AE100"	"RV57"	100	202	"M"	"M"	0.357673	"22"	"1"	35646.4	14221.0908512674	126.24	112.651226641852
"AE100"	"RV58"	100	202	"M"	"M"	0.113728	"22"	"1"	35646.4	14221.0908512674	126.24	112.651226641852
"AE100"	"RV6"	100	202	"M"	"M"	0.267732	"22"	"1"	35646.4	14221.0908512674	126.24	112.651226641852
"AE100"	"RV7"	100	202	"M"	"F"	0.10754	"22"	"1"	35646.4	14221.0908512674	126.24	112.651226641852
"AE100"	"RV8"	100	202	"M"	"F"	0.271177	"22"	"1"	35646.4	14221.0908512674	126.24	112.651226641852
"AE100"	"RV9"	100	202	"M"	"F"	0.114123	"22"	"1"	35646.4	14221.0908512674	126.24	112.651226641852
"AE100"	"SF11"	100	403	"M"	"F"	0.018032	"22"	"0"	51130	20071.8316304218	636.15	31.5520421762505
"AE100"	"SF12"	100	403	"M"	"M"	0.025917	"22"	"0"	51130	20071.8316304218	636.15	31.5520421762505
"AE100"	"SF13"	100	403	"M"	"M"	0.037736	"22"	"0"	51130	20071.8316304218	636.15	31.5520421762505
"AE100"	"SF14"	100	403	"M"	"M"	0.046447	"22"	"0"	51130	20071.8316304218	636.15	31.5520421762505
"AE100"	"SF15"	100	403	"M"	"M"	0.063028	"22"	"0"	51130	20071.8316304218	636.15	31.5520421762505
"AE100"	"SF16"	100	403	"M"	"F"	0.115411	"22"	"0"	51130	20071.8316304218	636.15	31.5520421762505
"AE100"	"SF18"	100	403	"M"	"M"	-0.157609	"22"	"0"	51130	20071.8316304218	636.15	31.5520421762505
