"Locus"	"Allele"	"Frequency_recent"	"x_recent"	"y_recent"	"Frequency_historic"	"x_historic"	"y_historic"	"Euclidean_distance"	"Resistance_based_distance"	"Landscape_resistance"
"Leon30"	281	0.25	-3835943.12387789	10727185.94153	0.333	-3836000.08230449	10726663.9935081	525.04666459258	845.3	231.06
"Leon30"	281	0.25	-3834929.02189673	10728357.9458695	0.333	-3836000.08230449	10726663.9935081	2004.15692998493	2385.2	302.8
"Leon30"	283	0.714	-3848812.68503423	10745487.219727	0.5	-3850355.73962123	10743765.1516269	2312.25777109792	2458.4	247.46
"Leon30"	283	0.357	-3848205.93586398	10746463.4673618	0.5	-3845105.93131116	10745187.5234867	3352.32173276538	3502.9	361.4
"Leon30"	283	0.625	-3849038.62221455	10749887.0697689	0.5	-3845105.93131116	10745187.5234867	6127.95177853164	6520.6	665.28
"Leon30"	283	0.167	-3838237.33456959	10743235.3186302	0.25	-3833855.99332499	10743061.3390386	4384.79417988561	6724.3	259.51
"Leon30"	283	0.167	-3833855.99332499	10743061.3390386	0.25	-3833855.99332499	10743061.3390386	0	NA	NA
"Leon30"	283	0.125	-3832993.68094611	10741619.8181885	0.25	-3833855.99332499	10743061.3390386	1679.75146971649	2397	376.75
"Leon30"	283	0.5	-3831382.3291709	10761621.4744814	0.75	-3830730.82009379	10761761.5920122	666.406032383429	1526.4	272.35
"Leon30"	283	0.6	-3830807.19829394	10761465.0344789	0.75	-3830730.82009379	10761761.5920122	306.235203722777	847.3	226.8
"Leon30"	283	0.5	-3832136.75534032	10760691.8798628	0.5	-3832092.5295933	10761632.9792642	942.13799414255	1487.7	307.09
"Leon30"	283	0.438	-3831937.84248834	10755283.7805037	0.4	-3831937.84248834	10755283.7805037	0	1180.2	232.53
"Leon30"	283	0.5	-3832877.64520233	10756133.923938	0.75	-3832878.60363112	10755831.2953184	302.630137293157	0	0
"Leon30"	283	0.4	-3831327.27853097	10755077.3255354	0.4	-3831937.84248834	10755283.7805037	644.524631020778	1038.1	359.5
"Leon30"	283	0.167	-3832571.68254384	10756718.2730217	0.75	-3832878.60363112	10755831.2953184	938.57871273144	1200.6	295.16
"Leon30"	283	0.5	-3837180.12677243	10725471.1783281	0.5	-3837136.55322491	10725944.4555681	475.27886550642	842.7	276.55
"Leon30"	283	0.5	-3835943.12387789	10727185.94153	0.167	-3836000.08230449	10726663.9935081	525.04666459258	845.3	231.06
"Leon30"	283	0.5	-3837180.12677243	10725471.1783281	0.5	-3837136.55322491	10725944.4555681	475.27886550642	842.7	276.55
"Leon30"	283	0.667	-3835526.43175286	10725638.5783946	0.167	-3835526.43175286	10725638.5783946	0	3211.1	408.82
"Leon30"	283	0.25	-3836745.63268835	10725400.5887332	0.5	-3837136.55322491	10725944.4555681	669.783547124884	1162.6	297.18
"Leon30"	283	0.5	-3835251.78597857	10727696.8132448	0.167	-3836000.08230449	10726663.9935081	1275.4073858989	1765.1	316.86
"Leon30"	283	0.5	-3836472.47647905	10726779.8112263	0.167	-3836000.08230449	10726663.9935081	486.384621470953	849.2	276.88
"Leon30"	283	0.5	-3835526.43175286	10725638.5783946	0.167	-3835526.43175286	10725638.5783946	0	3211.1	408.82
"Leon30"	283	0.5	-3835943.12387789	10727185.94153	0.167	-3836000.08230449	10726663.9935081	525.04666459258	845.3	231.06
"Leon30"	283	0.5	-3837092.19493726	10741953.0389327	0.25	-3833855.99332499	10743061.3390386	3420.72068429586	5768.2	404.14
"Leon30"	285	0.25	-3832136.75534032	10760691.8798628	0.125	-3833855.99332499	10743061.3390386	17714.1680301367	48993.4	653.82
"Leon30"	285	0.25	-3837136.55322491	10725944.4555681	0.333	-3835526.43175286	10725638.5783946	1638.91793571992	2181	302.03
"Leon30"	285	0.25	-3836836.95539439	10725661.5737201	0.333	-3835526.43175286	10725638.5783946	1310.72537169432	1900.05	318.535
"Leon21"	283	0.1	-3815584.56216887	10786021.2221798	0.05	-3814809.19283505	10787454.7675737	1629.80060130104	2057.6	280.66
"Leon21"	287	0.071	-3848812.68503423	10745487.219727	0.857	-3850355.73962123	10743765.1516269	2312.25777109792	2458.4	247.46
"Leon21"	287	0.917	-3848205.93586398	10746463.4673618	0.5	-3845105.93131116	10745187.5234867	3352.32173276538	3502.9	361.4
"Leon21"	287	0.875	-3849038.62221455	10749887.0697689	0.5	-3845105.93131116	10745187.5234867	6127.95177853164	6520.6	665.28
"Leon21"	287	0.833	-3838237.33456959	10743235.3186302	0.5	-3845105.93131116	10745187.5234867	7140.63897700959	16039.3	237.81
"Leon21"	287	0.3	-3815584.56216887	10786021.2221798	0.167	-3815584.56216887	10786021.2221798	0	2057.6	280.66
"Leon21"	287	0.35	-3814809.19283505	10787454.7675737	0.75	-3814809.19283505	10787454.7675737	0	NA	NA
"Leon21"	287	0.2	-3815584.56216887	10786021.2221798	0.167	-3815584.56216887	10786021.2221798	0	2057.6	280.66
"Leon21"	287	0.7	-3815495.03350466	10786313.3002829	0.167	-3815584.56216887	10786021.2221798	305.491407405913	736.7	91.86
"Leon21"	287	0.5	-3814085.76421928	10787968.3199448	0.75	-3814809.19283505	10787454.7675737	887.178110644303	1041.7	212.97
"Leon21"	287	0.333	-3833855.99332499	10743061.3390386	0.5	-3845105.93131116	10745187.5234867	11449.094505675	21950.4	351.73
"Leon21"	287	0.625	-3832993.68094611	10741619.8181885	0.5	-3845105.93131116	10745187.5234867	12626.7624512401	23350.6	365.64
"Leon21"	287	0.5	-3830707.82318852	10748056.3712499	0.583	-3831937.84248834	10755283.7805037	7331.3294837984	24974.9	109.6
"Leon21"	287	0.35	-3830807.19829394	10761465.0344789	0.5	-3830730.82009379	10761761.5920122	306.235203722777	847.3	226.8
"Leon21"	287	0.375	-3832136.75534032	10760691.8798628	0.5	-3832092.5295933	10761632.9792642	942.13799414255	1487.7	307.09
"Leon21"	287	0.438	-3831937.84248834	10755283.7805037	0.583	-3831937.84248834	10755283.7805037	0	1180.2	232.53
"Leon21"	287	0.4	-3832877.64520233	10756133.923938	0.25	-3832878.60363112	10755831.2953184	302.630137293157	0	0
"Leon21"	287	0.4	-3831327.27853097	10755077.3255354	0.583	-3831937.84248834	10755283.7805037	644.524631020778	1038.1	359.5
"Leon21"	287	0.167	-3832571.68254384	10756718.2730217	0.25	-3832878.60363112	10755831.2953184	938.57871273144	1200.6	295.16
"Leon21"	287	0.667	-3836000.08230449	10726663.9935081	0.5	-3836000.08230449	10726663.9935081	0	1765.1	316.86
"Leon21"	287	0.75	-3837180.12677243	10725471.1783281	0.25	-3837136.55322491	10725944.4555681	475.27886550642	842.7	276.55
"Leon21"	287	0.5	-3835943.12387789	10727185.94153	0.5	-3836000.08230449	10726663.9935081	525.04666459258	845.3	231.06
"Leon21"	287	0.333	-3836836.95539439	10725661.5737201	0.25	-3837136.55322491	10725944.4555681	412.04490046937	858.2	200.74
"Leon21"	287	0.75	-3836745.63268835	10725400.5887332	0.25	-3837136.55322491	10725944.4555681	669.783547124884	1162.6	297.18
"Leon21"	287	0.25	-3835251.78597857	10727696.8132448	0.5	-3836000.08230449	10726663.9935081	1275.4073858989	1765.1	316.86
"Leon21"	287	0.5	-3836472.47647905	10726779.8112263	0.5	-3836000.08230449	10726663.9935081	486.384621470953	849.2	276.88
"Leon21"	287	0.5	-3835526.43175286	10725638.5783946	0.1	-3834954.83138545	10726260.0436148	844.361297070435	1155.8	252.83
"Leon21"	287	0.25	-3835943.12387789	10727185.94153	0.5	-3836000.08230449	10726663.9935081	525.04666459258	845.3	231.06
"Leon21"	287	0.25	-3834929.02189673	10728357.9458695	0.5	-3836000.08230449	10726663.9935081	2004.15692998493	2385.2	302.8
"Leon21"	287	1	-3837092.19493726	10741953.0389327	0.5	-3845105.93131116	10745187.5234867	8641.86675435336	16744.8	282.12
"Leon21"	287	0.5	-3837092.19493726	10741953.0389327	0.5	-3845105.93131116	10745187.5234867	8641.86675435336	16744.8	282.12
"Leon21"	289	0.167	-3836000.08230449	10726663.9935081	0.167	-3835526.43175286	10725638.5783946	1129.52246547012	2997.5	307
"Leon21"	289	0.5	-3837136.55322491	10725944.4555681	0.167	-3835526.43175286	10725638.5783946	1638.91793571992	2181	302.03
"Leon21"	289	0.25	-3834929.02189673	10728357.9458695	0.167	-3835526.43175286	10725638.5783946	2784.21586806545	3516.6	377.37
"Leon21"	291	0.333	-3833855.99332499	10743061.3390386	0.333	-3831937.84248834	10755283.7805037	12372.0401712899	16427.3	337.29
"Leon21"	291	0.375	-3832993.68094611	10741619.8181885	0.333	-3831937.84248834	10755283.7805037	13704.6948524949	15355.1	339.45
"Leon21"	291	0.5	-3830707.82318852	10748056.3712499	0.333	-3831937.84248834	10755283.7805037	7331.3294837984	24974.9	109.6
"Leon21"	291	1	-3831382.3291709	10761621.4744814	0.417	-3832097.11584667	10761638.2675796	714.983915899975	0	0
"Leon21"	291	0.3	-3830807.19829394	10761465.0344789	0.417	-3832097.11584667	10761638.2675796	1301.4979830933	1342.5	188.2
"Leon21"	291	0.5	-3831937.84248834	10755283.7805037	0.333	-3831937.84248834	10755283.7805037	0	1180.2	232.53
"Leon21"	291	0.4	-3832877.64520233	10756133.923938	0.75	-3832878.60363112	10755831.2953184	302.630137293157	0	0
"Leon21"	291	0.4	-3831327.27853097	10755077.3255354	0.333	-3831937.84248834	10755283.7805037	644.524631020778	1038.1	359.5
"Leon21"	291	0.167	-3832571.68254384	10756718.2730217	0.75	-3832878.60363112	10755831.2953184	938.57871273144	1200.6	295.16
"Leon21"	291	0.5	-3837136.55322491	10725944.4555681	0.25	-3837136.55322491	10725944.4555681	0	2845.2	310.53
"Leon21"	291	0.167	-3836836.95539439	10725661.5737201	0.25	-3837136.55322491	10725944.4555681	412.04490046937	858.2	200.74
"Leon21"	291	0.25	-3837180.12677243	10725471.1783281	0.25	-3837136.55322491	10725944.4555681	475.27886550642	842.7	276.55
"Leon21"	291	0.333	-3835526.43175286	10725638.5783946	0.167	-3835526.43175286	10725638.5783946	0	3211.1	408.82
"Leon21"	291	0.25	-3835943.12387789	10727185.94153	0.333	-3836000.08230449	10726663.9935081	525.04666459258	845.3	231.06
"Leon21"	293	0.25	-3832136.75534032	10760691.8798628	0.167	-3832097.11584667	10761638.2675796	947.217504064122	1487.7	307.09
"Leon21"	293	0.167	-3836836.95539439	10725661.5737201	0.167	-3835526.43175286	10725638.5783946	1310.72537169432	1900.05	318.535
"Leon21"	293	0.25	-3834929.02189673	10728357.9458695	0.167	-3835526.43175286	10725638.5783946	2784.21586806545	3516.6	377.37
"Leon21"	295	0.7	-3813163.86437249	10786407.7220874	0.1	-3814809.19283505	10787454.7675737	1950.23331937269	7093.3	471.2
"Leon21"	295	0.6	-3815584.56216887	10786021.2221798	0.833	-3815584.56216887	10786021.2221798	0	2057.6	280.66
"Leon21"	295	0.4	-3814809.19283505	10787454.7675737	0.1	-3814809.19283505	10787454.7675737	0	NA	NA
"Leon21"	295	0.2	-3815584.56216887	10786021.2221798	0.833	-3815584.56216887	10786021.2221798	0	2057.6	280.66
"Leon21"	295	0.875	-3814085.76421928	10787968.3199448	0.1	-3814809.19283505	10787454.7675737	887.178110644303	1041.7	212.97
"Leon21"	295	0.033	-3815495.03350466	10786313.3002829	0.833	-3815584.56216887	10786021.2221798	305.491407405913	736.7	91.86
"Leon21"	295	0.4	-3814085.76421928	10787968.3199448	0.1	-3814809.19283505	10787454.7675737	887.178110644303	1041.7	212.97
"Leon21"	297	0.929	-3848812.68503423	10745487.219727	0.143	-3850355.73962123	10743765.1516269	2312.25777109792	2458.4	247.46
"Leon21"	297	0.083	-3848205.93586398	10746463.4673618	0.5	-3845105.93131116	10745187.5234867	3352.32173276538	3502.9	361.4
"Leon21"	297	0.125	-3849038.62221455	10749887.0697689	0.5	-3845105.93131116	10745187.5234867	6127.95177853164	6520.6	665.28
"Leon21"	297	0.167	-3838237.33456959	10743235.3186302	0.375	-3833855.99332499	10743061.3390386	4384.79417988561	6724.3	259.51
"Leon21"	297	0.3	-3813163.86437249	10786407.7220874	1	-3813163.86437249	10786407.7220874	0	NA	NA
"Leon21"	297	0.1	-3815584.56216887	10786021.2221798	0.167	-3815584.56216887	10786021.2221798	0	2057.6	280.66
"Leon21"	297	0.25	-3814809.19283505	10787454.7675737	0.875	-3814809.19283505	10787454.7675737	0	2057.6	280.66
"Leon21"	297	0.5	-3815584.56216887	10786021.2221798	0.167	-3815584.56216887	10786021.2221798	0	2057.6	280.66
"Leon21"	297	0.125	-3814085.76421928	10787968.3199448	0.875	-3814809.19283505	10787454.7675737	887.178110644303	3004.5	346.2
"Leon21"	297	0.267	-3815495.03350466	10786313.3002829	0.167	-3815584.56216887	10786021.2221798	305.491407405913	736.7	91.86
"Leon21"	297	0.1	-3814085.76421928	10787968.3199448	0.875	-3814809.19283505	10787454.7675737	887.178110644303	3004.5	346.2
"Leon21"	297	0.35	-3830807.19829394	10761465.0344789	0.5	-3832092.5295933	10761632.9792642	1296.25691897565	1342.5	188.2
"Leon21"	297	0.125	-3832136.75534032	10760691.8798628	0.5	-3832092.5295933	10761632.9792642	942.13799414255	1487.7	307.09
"Leon21"	297	0.063	-3831937.84248834	10755283.7805037	0.083	-3831937.84248834	10755283.7805037	0	1180.2	232.53
"Leon21"	297	0.2	-3832877.64520233	10756133.923938	0.083	-3831937.84248834	10755283.7805037	1267.26990022212	1180.2	232.53
"Leon21"	297	0.667	-3832571.68254384	10756718.2730217	0.083	-3831937.84248834	10755283.7805037	1568.28632589665	1568.2	302.49
"Leon21"	297	0.167	-3836000.08230449	10726663.9935081	0.167	-3836000.08230449	10726663.9935081	0	1765.1	316.86
"Leon21"	297	0.25	-3837180.12677243	10725471.1783281	0.5	-3837136.55322491	10725944.4555681	475.27886550642	842.7	276.55
"Leon21"	297	0.5	-3835943.12387789	10727185.94153	0.167	-3836000.08230449	10726663.9935081	525.04666459258	845.3	231.06
"Leon21"	297	0.167	-3836836.95539439	10725661.5737201	0.5	-3837136.55322491	10725944.4555681	412.04490046937	858.2	200.74
"Leon21"	297	0.75	-3837180.12677243	10725471.1783281	0.5	-3837136.55322491	10725944.4555681	475.27886550642	842.7	276.55
"Leon21"	297	0.667	-3835526.43175286	10725638.5783946	0.167	-3835526.43175286	10725638.5783946	0	3211.1	408.82
"Leon21"	297	0.25	-3836745.63268835	10725400.5887332	0.5	-3837136.55322491	10725944.4555681	669.783547124884	1162.6	297.18
"Leon21"	297	0.75	-3835251.78597857	10727696.8132448	0.167	-3836000.08230449	10726663.9935081	1275.4073858989	1765.1	316.86
"Leon21"	297	0.5	-3836472.47647905	10726779.8112263	0.167	-3836000.08230449	10726663.9935081	486.384621470953	849.2	276.88
"Leon21"	297	0.5	-3835526.43175286	10725638.5783946	0.167	-3835526.43175286	10725638.5783946	0	3211.1	408.82
"Leon21"	297	0.5	-3835943.12387789	10727185.94153	0.167	-3836000.08230449	10726663.9935081	525.04666459258	845.3	231.06
"Leon21"	297	0.5	-3837092.19493726	10741953.0389327	0.375	-3833855.99332499	10743061.3390386	3420.72068429586	5768.2	404.14
"Leon21"	299	0.333	-3833855.99332499	10743061.3390386	0.375	-3833855.99332499	10743061.3390386	0	NA	NA
"Leon21"	299	0.25	-3832136.75534032	10760691.8798628	0.375	-3833855.99332499	10743061.3390386	17714.1680301367	48993.4	653.82
"Leon21"	299	0.2	-3831327.27853097	10755077.3255354	0.375	-3833855.99332499	10743061.3390386	12279.1827903961	21142.5	238.23
"Leon21"	299	1	-3834954.83138545	10726260.0436148	0.4	-3834954.83138545	10726260.0436148	0	2495.1	313.51
"Leon21"	299	0.167	-3836836.95539439	10725661.5737201	0.333	-3835526.43175286	10725638.5783946	1310.72537169432	1900.05	318.535
"Leon21"	299	0.25	-3834929.02189673	10728357.9458695	0.4	-3834954.83138545	10726260.0436148	2098.06100959766	2754.1	272.96
"Lchu8 "	216	0.25	-3835943.12387789	10727185.94153	0.083	-3831937.84248834	10755283.7805037	28381.8750966183	68016.4	163.08
"Lchu8 "	216	0.167	-3836836.95539439	10725661.5737201	0.083	-3831937.84248834	10755283.7805037	30024.5972828943	68016.4	163.08
"Lchu8 "	216	0.25	-3837180.12677243	10725471.1783281	0.083	-3831937.84248834	10755283.7805037	30269.9982325737	68016.4	163.08
"Lchu8 "	224	0.375	-3832136.75534032	10760691.8798628	0.083	-3832097.11584667	10761638.2675796	947.217504064122	1487.7	307.09
"Lchu8 "	224	0.25	-3835943.12387789	10727185.94153	0.25	-3831937.84248834	10755283.7805037	28381.8750966183	68016.4	163.08
"Lchu8 "	226	0.125	-3849038.62221455	10749887.0697689	0.214	-3850355.73962123	10743765.1516269	6262.00287447988	6471.9	656.73
"Lchu8 "	226	0.083	-3838237.33456959	10743235.3186302	0.5	-3833855.99332499	10743061.3390386	4384.79417988561	6724.3	259.51
"Lchu8 "	226	0.3	-3815584.56216887	10786021.2221798	0.083	-3815584.56216887	10786021.2221798	0	2057.6	280.66
"Lchu8 "	226	0.125	-3814085.76421928	10787968.3199448	0.45	-3814809.19283505	10787454.7675737	887.178110644303	1041.7	212.97
"Lchu8 "	226	0.6	-3815495.03350466	10786313.3002829	0.083	-3815584.56216887	10786021.2221798	305.491407405913	736.7	91.86
"Lchu8 "	226	0.2	-3814085.76421928	10787968.3199448	0.45	-3814809.19283505	10787454.7675737	887.178110644303	1041.7	212.97
"Lchu8 "	226	0.833	-3833855.99332499	10743061.3390386	0.5	-3833855.99332499	10743061.3390386	0	NA	NA
"Lchu8 "	226	0.5	-3832993.68094611	10741619.8181885	0.5	-3833855.99332499	10743061.3390386	1679.75146971649	2397	376.75
"Lchu8 "	226	0.5	-3830707.82318852	10748056.3712499	0.5	-3833855.99332499	10743061.3390386	5904.34772011088	6671.3	298.21
"Lchu8 "	226	0.45	-3830807.19829394	10761465.0344789	0.75	-3830730.82009379	10761761.5920122	306.235203722777	847.3	226.8
"Lchu8 "	226	0.375	-3832136.75534032	10760691.8798628	0.5	-3832092.5295933	10761632.9792642	942.13799414255	1487.7	307.09
"Lchu8 "	226	0.625	-3831937.84248834	10755283.7805037	0.333	-3831937.84248834	10755283.7805037	0	1180.2	232.53
"Lchu8 "	226	0.75	-3832877.64520233	10756133.923938	0.333	-3831937.84248834	10755283.7805037	1267.26990022212	1180.2	232.53
"Lchu8 "	226	0.6	-3831327.27853097	10755077.3255354	0.333	-3831937.84248834	10755283.7805037	644.524631020778	1038.1	359.5
"Lchu8 "	226	0.833	-3832571.68254384	10756718.2730217	0.333	-3831937.84248834	10755283.7805037	1568.28632589665	1568.2	302.49
"Lchu8 "	226	0.667	-3836000.08230449	10726663.9935081	0.5	-3836000.08230449	10726663.9935081	0	1765.1	316.86
